date,time,address,offense,description
09/03/2016,7:54 AM,3900 Spruce St,Other offense,Male wanted on warrant/Arrest
08/27/17,12:26 PM,200 S 38th St,Other offense,Male wanted on warrant/Arrest
09/07/16,11:09 PM,3800 Chestnut St,Other Offense,Male wanted on warrant/Arrest
05/12/16,12:11 AM,51 N 39th St,Other Offense,Male escaped police custody
09/08/16,9:41 PM,3901 Locust Walk,Other Offense,Male wanted on warrant/Arrest
11/15/16,5:27 PM,51 N 39th St,Other Offense,Complainant states she was harassed by doctor
09/14/16,4:22 PM,3600 Locust Walk,Other Offense,Female cited for trespassing
01/17/17,9:51 AM,51 N 39th St,Other offense,Male wanted on warrant/Arrest
09/21/16,6:53 PM,4200 Spruce St,Other offense,Unauthorized male in building/Arrest
01/17/17,10:12 PM,51 N 39th St,Other offense,Male wanted on warrant/Arrest
09/23/16,1:18 PM,3737 Market St,Other offense,Complainant threatened by patient
02/14/17,9:40 AM,51 N 39th St,Other Offense,Male wanted on warrant/Arrest
09/24/16,11:38 AM,4200 Chestnut St,Other offense,Male wanted on warrant/Arrest
05/05/16,10:55 AM,200 S 40th St,Other offense,Female wanted on warrant/Arrest
05/05/16,10:55 AM,200 S 40th St,Other offense,Female wanted on warrant/Arrest
05/27/16,11:32 PM,200 S 40th St,Other Offense,Female wanted on warrant/Arrest
05/07/16,2:06 PM,3800 Chestnut St,Other Offense,Female wanted on probation violation/Arrest
10/20/16,2:07 PM,200 S 40th St,Other Offense,Male wanted on warrant/Arrest
05/10/16,7:29 AM,3401 Walnut St,Other Offense,Male issued citation for trespassing
12/01/16,12:35 PM,200 S 40th St,Other Offense,Male cited for public urination
05/12/16,12:11 AM,51 N 39th St,Other Offense,Male escaped police custody
12/03/16,10:15 PM,220 S 40th St,Other Offense,Offender punched complainant/Arrest
05/13/16,2:27 AM,4000 Spruce St,Other Offense,Male cited for littering
12/20/16,12:51 PM,240 S 40th St,Other Offense,Female refusing to leave premise/citation issued
05/18/16,6:14 PM,4100 Ludlow St,Other Offense,Male wanted on warrant/Arrest
01/31/17,10:25 PM,200 S 40th St,Other Offense,Male wanted on warrant/Arrest
05/27/16,2:38 AM,3900 Sansom St,Other Offense,Male cited for public urination
02/02/17,2:28 AM,200 S 40th St,Other Offense,Male cited for public urination
05/27/16,12:34 PM,4000 Market St,Other Offense,Male cited for selling cigarettes out of package
2/23/2017,11:08 AM,1 S 40th St,Other Offense,Male cited for city ordinances
05/27/16,11:32 PM,200 S 40th St,Other Offense,Female wanted on warrant/Arrest
05/10/16,7:29 AM,3401 Walnut St,Other Offense,Male issued citation for trespassing
05/29/16,6:31 PM,4012 Walnut St,Other Offense,Male cited for having a cutting weapon in public
05/29/16,6:31 PM,4012 Walnut St,Other Offense,Male cited for having a cutting weapon in public
06/02/16,2:25 PM,3700 Spruce St,Other Offense,Female wanted on warrant/Arrest
06/18/16,8:02 PM,3300 Walnut St,Other Offense,Male wanted on warrant/Arrest
06/11/16,9:21 AM,4210 Spruce St,Other Offense,Female cited for trespassing
07/09/16,4:31 PM,3900 Walnut St,Other Offense,Male wanted for absconding/Arrest
06/18/16,8:02 PM,3300 Walnut St,Other Offense,Male wanted on warrant/Arrest
10/12/16,9:11 PM,3925 Walnut St,Other Offense,Male wanted on warrant/Arrest
06/25/16,12:28 AM,3400 Spruce St,Other Offense,Complainant harassed by known male
11/26/16,4:50 PM,3900 Walnut St,Other Offense,Male wanted on warrant/Arrest
07/02/16,5:22 AM,3733 Spruce St,Other Offense,Male cited for public urination
12/24/16,4:05 PM,3901 Walnut St,Other Offense,Male wanted on warrant/Arrest
07/09/16,4:31 PM,3900 Walnut St,Other Offense,Male wanted for absconding/Arrest
01/01/17,3:56 PM,4000 Walnut St,Other Offense,Male wanted on warrant/Arrest
07/26/16,12:21 PM,421 Curie Blvd,Other Offense,Unwanted calls received
02/17/17,4:13 PM,3935 Walnut St,Other Offense,Male wanted on warrant/Arrest
07/26/16,1:39 PM,4000 Market St,Other Offense,Female wanted on warrant/Arrest
02/18/17,7:48 PM,4000 Walnut St,Other Offense,Male wanted on warrant/Arrest
07/27/16,9:31 PM,3549 Chestnut St,Other Offense,Unauthorized male in building/Arrest
4/18/17,11:57 PM,3800 Walnut St,Other offense,Male wanted on warrant/Arrest
08/02/16,6:00 PM,3744 Spruce St,Other Offense,Male wanted on warrant/Arrest
4/27/17,3:23 PM,4000 Walnut St,Other offense,Female wanted on warrant/Arrest
08/04/16,6:05 PM,3948 Market St,Other Offense,Male wanted on warrant/Arrest
09/03/2016,7:54 AM,3900 Spruce St,Other offense,Male wanted on warrant/Arrest
08/07/16,2:06 AM,3604 Chestnut St,Other Offense,Male wanted to probation violation/Arrest
09/21/16,6:53 PM,4200 Spruce St,Other offense,Unauthorized male in building/Arrest
08/13/16,10:27 AM,3549 Chestnut St,Other Offense,Male wanted on warrant/Arrest
05/13/16,2:27 AM,4000 Spruce St,Other Offense,Male cited for littering
08/18/16,5:49 PM,3900 Irving St,Other Offense,Unauthorized person in building/Arrest
06/02/16,2:25 PM,3700 Spruce St,Other Offense,Female wanted on warrant/Arrest
08/27/16,7:10 PM,3100 Chestnut St,Other Offense,Male wanted on warrant/Arrest
06/11/16,9:21 AM,4210 Spruce St,Other Offense,Female cited for trespassing
10/05/16,2:22 PM,3450 Woodland Walk,Other Offense,Complainant verbally harassed
06/25/16,12:28 AM,3400 Spruce St,Other Offense,Complainant harassed by known male
10/06/16,11:20 PM,3400 Spruce St,Other Offense,Male wanted on warrant/Arrest
07/02/16,5:22 AM,3733 Spruce St,Other Offense,Male cited for public urination
10/12/16,9:11 PM,3925 Walnut St,Other Offense,Male wanted on warrant/Arrest
08/02/16,6:00 PM,3744 Spruce St,Other Offense,Male wanted on warrant/Arrest
10/13/16,12:32 PM,4133 Chestnut St,Other Offense,Male wanted on warrant/Arrest
10/06/16,11:20 PM,3400 Spruce St,Other Offense,Male wanted on warrant/Arrest
10/20/16,2:07 PM,200 S 40th St,Other Offense,Male wanted on warrant/Arrest
12/17/16,3:55 PM,3400 Spruce St,Other Offense,Unwanted calls received
10/20/16,11:41 PM,3700 Locust Walk,Other Offense,Male cited for public urination
12/27/16,7:31 PM,3400 Spruce St,Other Offense,Unauthorized male in hospital/Arrested
11/02/16,2:58 PM,4314 Locust St,Other Offense,Male wanted on warrant/Arrest
01/06/17,5:47 PM,4100 Spruce St,Other Offense,Male wanted on warrant/Arrest
11/15/16,5:27 PM,51 N 39th St,Other Offense,Complainant states she was harassed by doctor
01/25/17,7:28 AM,3400 Spruce St,Other offense,Unauthorized males (2) in building/Arrest
11/26/16,4:50 PM,3900 Walnut St,Other Offense,Male wanted on warrant/Arrest
03/24/2017,6:28 PM,3400 Spruce St,Other Offense,Male wanted on probation violation/Arrest
12/01/16,12:35 PM,200 S 40th St,Other Offense,Male cited for public urination
03/25/2017,2:07 PM,3417 Spruce St,Other Offense,Male cited for trespass
12/03/16,10:15 PM,220 S 40th St,Other Offense,Offender punched complainant/Arrest
08/25/17,2:22 PM,3744 Spruce St,Other offense,Male warned not to return/Citation
12/13/16,11:55 PM,3900 Sansom St,Other Offense,Male wanted on warrant/Arrest
09/07/16,11:09 PM,3800 Chestnut St,Other Offense,Male wanted on warrant/Arrest
12/17/16,3:55 PM,3400 Spruce St,Other Offense,Unwanted calls received
09/24/16,11:38 AM,4200 Chestnut St,Other offense,Male wanted on warrant/Arrest
12/18/16,12:34 PM,3400 Sansom St,Other Offense,Male cited for possession of stun gun
05/07/16,2:06 PM,3800 Chestnut St,Other Offense,Female wanted on probation violation/Arrest
12/20/16,12:51 PM,240 S 40th St,Other Offense,Female refusing to leave premise/citation issued
07/27/16,9:31 PM,3549 Chestnut St,Other Offense,Unauthorized male in building/Arrest
12/23/16,9:08 PM,4000 Market St,Other Offense,Male wanted on warrant/Arrest
08/07/16,2:06 AM,3604 Chestnut St,Other Offense,Male wanted to probation violation/Arrest
12/24/16,4:05 PM,3901 Walnut St,Other Offense,Male wanted on warrant/Arrest
08/13/16,10:27 AM,3549 Chestnut St,Other Offense,Male wanted on warrant/Arrest
12/27/16,7:31 PM,3400 Spruce St,Other Offense,Unauthorized male in hospital/Arrested
08/27/16,7:10 PM,3100 Chestnut St,Other Offense,Male wanted on warrant/Arrest
01/01/17,3:56 PM,4000 Walnut St,Other Offense,Male wanted on warrant/Arrest
10/13/16,12:32 PM,4133 Chestnut St,Other Offense,Male wanted on warrant/Arrest
01/06/17,5:47 PM,4100 Spruce St,Other Offense,Male wanted on warrant/Arrest
01/31/17,6:19 PM,4300 Chestnut St,Other Offense,Male wanted on warrant/Arrest
01/17/17,9:51 AM,51 N 39th St,Other offense,Male wanted on warrant/Arrest
09/08/16,9:41 PM,3901 Locust Walk,Other Offense,Male wanted on warrant/Arrest
01/17/17,10:12 PM,51 N 39th St,Other offense,Male wanted on warrant/Arrest
09/14/16,4:22 PM,3600 Locust Walk,Other Offense,Female cited for trespassing
01/25/17,7:28 AM,3400 Spruce St,Other offense,Unauthorized males (2) in building/Arrest
10/20/16,11:41 PM,3700 Locust Walk,Other Offense,Male cited for public urination
01/31/17,6:19 PM,4300 Chestnut St,Other Offense,Male wanted on warrant/Arrest
11/02/16,2:58 PM,4314 Locust St,Other Offense,Male wanted on warrant/Arrest
01/31/17,10:25 PM,200 S 40th St,Other Offense,Male wanted on warrant/Arrest
4/21/17,4:52 PM,3620 Locust Walt,Other offense,Male in building with authorization/Arrest
02/02/17,2:28 AM,200 S 40th St,Other Offense,Male cited for public urination
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Citations issued for public urination
02/14/17,9:40 AM,51 N 39th St,Other Offense,Male wanted on warrant/Arrest
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Male cited for public urination
02/17/17,4:13 PM,3935 Walnut St,Other Offense,Male wanted on warrant/Arrest
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Male cited for open beer container
02/18/17,7:48 PM,4000 Walnut St,Other Offense,Male wanted on warrant/Arrest
09/23/16,1:18 PM,3737 Market St,Other offense,Complainant threatened by patient
02/19/17,4:28 AM,4000 Pine St,Other Offense,Male wanted on warrant/Arrest
05/27/16,12:34 PM,4000 Market St,Other Offense,Male cited for selling cigarettes out of package
2/23/2017,11:08 AM,1 S 40th St,Other Offense,Male cited for city ordinances
07/26/16,1:39 PM,4000 Market St,Other Offense,Female wanted on warrant/Arrest
2/24/2017,7:52 AM,4000 Pine St,Other Offense,Male wanted on warrant/Arrest
08/04/16,6:05 PM,3948 Market St,Other Offense,Male wanted on warrant/Arrest
03/09/2017,7:02 PM,3948 Market St,Other Offense,Offender arrested on probation warrant
12/23/16,9:08 PM,4000 Market St,Other Offense,Male wanted on warrant/Arrest
03/24/2017,6:28 PM,3400 Spruce St,Other Offense,Male wanted on probation violation/Arrest
03/09/2017,7:02 PM,3948 Market St,Other Offense,Offender arrested on probation warrant
03/25/2017,2:07 PM,3417 Spruce St,Other Offense,Male cited for trespass
4/30/17,11:20 PM,3800 Market St,Other offense,Male wanted on warrant/Arrest
4/18/17,11:57 PM,3800 Walnut St,Other offense,Male wanted on warrant/Arrest
02/19/17,4:28 AM,4000 Pine St,Other Offense,Male wanted on warrant/Arrest
4/21/17,4:52 PM,3620 Locust Walt,Other offense,Male in building with authorization/Arrest
2/24/2017,7:52 AM,4000 Pine St,Other Offense,Male wanted on warrant/Arrest
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Citations issued for public urination
05/27/16,2:38 AM,3900 Sansom St,Other Offense,Male cited for public urination
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Male cited for public urination
12/13/16,11:55 PM,3900 Sansom St,Other Offense,Male wanted on warrant/Arrest
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Male cited for open beer container
12/18/16,12:34 PM,3400 Sansom St,Other Offense,Male cited for possession of stun gun
4/27/17,3:23 PM,4000 Walnut St,Other offense,Female wanted on warrant/Arrest
08/18/16,5:49 PM,3900 Irving St,Other Offense,Unauthorized person in building/Arrest
4/30/17,11:20 PM,3800 Market St,Other offense,Male wanted on warrant/Arrest
07/26/16,12:21 PM,421 Curie Blvd,Other Offense,Unwanted calls received
08/25/17,2:22 PM,3744 Spruce St,Other offense,Male warned not to return/Citation
05/18/16,6:14 PM,4100 Ludlow St,Other Offense,Male wanted on warrant/Arrest
08/27/17,12:26 PM,200 S 38th St,Other offense,Male wanted on warrant/Arrest
10/05/16,2:22 PM,3450 Woodland Walk,Other Offense,Complainant verbally harassed
