,course_name,course_code,reqs
0,1000 YRS MUSICAL LISTENG,MUSC030,"III: Arts and Letters, Cross Cultural Analysis"
1,AMERICAN ORIGINS,HIST108,"II: History and Tradition, Cultural Diversity in the U.S."
2,ANCIENT ROME,"ANCH027
CLST027
HIST027","Cross Cultural Analysis, II: History and Tradition"
3,CHINESE FICTION & DRAMA,EALC122,"III: Arts and Letters, Cross Cultural Analysis"
4,CONTEMPOR FICT/FILM-JPAN,"GSWS257
CIMS151
COML256
EALC151","III: Arts and Letters, Cross Cultural Analysis"
5,DECIPHERING AMERICA,HIST011,"II: History and Tradition, Cultural Diversity in the U.S."
6,EARTH THROUGH TIME,GEOL125,"Quantitative Data Analysis, VI: Physical World"
7,EMERGENCE OF MODERN SCI,"HSOC001
STSC001","IV: Humanities and Social Science, VII: Natural Sciences and Math"
8,EXPLORATIONS IN HUMAN BIOLOGY,ANTH143,"VII: Natural Sciences and Math, Quantitative Data Analysis"
9,"EYE, MIND AND IMAGE",VLST101,"IV: Humanities and Social Science, VII: Natural Sciences and Math"
10,FRANCOPHONE LITERATURE AND FILM,FREN233,"III: Arts and Letters, Cross Cultural Analysis"
11,FREN HIST/CLTR 1789-1945,FREN227,"Cross Cultural Analysis, IV: Humanities and Social Science"
12,FREN LIT: INDIV/SOCIETY,"COML219
FREN232","III: Arts and Letters, Cross Cultural Analysis"
13,"GEN.PHYS:MECH,HEAT,SOUND",PHYS101,"Quantitative Data Analysis, VI: Physical World"
14,"GENERAL PHYSICS: ELECTROMAGNETISM, OPTICS, AND MODERN PHYSICS",PHYS102,"Quantitative Data Analysis, VI: Physical World"
15,GREEK & ROMAN MYTHOLOGY,"CLST100
COML108","III: Arts and Letters, Cross Cultural Analysis"
16,HANDSCHRIFT-HYPERTEXT,GRMN301,"III: Arts and Letters, Cross Cultural Analysis"
17,HONORS PHYSICS II: ELECTROMAGNETISM AND RADIATION,PHYS171,"Quantitative Data Analysis, VI: Physical World"
18,IDEAS IN MATHEMATICS,MATH170,"VII: Natural Sciences and Math, Formal Reasoning & Analysis"
19,INTRO LITERARY ANALYSIS,SPAN223,"III: Arts and Letters, Cross Cultural Analysis"
20,INTRO MODRN S.ASIA LIT: NEW LITERATURES OF RESISTANCE AND REPRESENTATIONS,"COML013
SAST007","III: Arts and Letters, Cross Cultural Analysis"
21,INTRO TO JAPANESE CIVIL,EALC002,"Cross Cultural Analysis, II: History and Tradition"
22,INTRO TO KOREAN CIV,"EALC003
HIST098","Cross Cultural Analysis, II: History and Tradition"
23,INTRO TO MIDDLE EAST,"NELC102
HIST023","Cross Cultural Analysis, II: History and Tradition"
24,INTRO TO SOCIOLING,LING102,"I: Society, Quantitative Data Analysis"
25,INTRODUCTION TO CULTURAL ANTHROPOLOGY,ANTH002,"Cross Cultural Analysis, I: Society"
26,INTRODUCTION TO ENVIRONMENTAL SCIENCE,ENVS100,"Quantitative Data Analysis, VI: Physical World"
27,INTRODUCTION TO FOLKLORE,"FOLK101
COML101
RELS108
NELC181","Cross Cultural Analysis, IV: Humanities and Social Science"
28,INTRODUCTION TO SOCIOLOGY,"AFRC002
SOCI001","I: Society, Cultural Diversity in the U.S."
29,ITALIAN HIST ON SCREEN,"CIMS206
COML206
ITAL204","III: Arts and Letters, Cross Cultural Analysis"
30,LAND OF THE PHARAOHS,"NELC062
AFRC062","Cross Cultural Analysis, II: History and Tradition"
31,MASTERPIECES 20C RUS LIT,REES155,"III: Arts and Letters, Cross Cultural Analysis"
32,MASTERPIECES-ITALIAN LITERATURE:  IN LOVE AND WAR,ITAL203,"III: Arts and Letters, Cross Cultural Analysis"
33,MOD HEB LIT & FILM TRANS: IMAGE OF THE CITY,"NELC159
JWST154
COML282
CIMS159","III: Arts and Letters, Cross Cultural Analysis"
34,MOD LATIN AMER 1808-PRES,"HIST071
LALS071","Cross Cultural Analysis, II: History and Tradition"
35,MODERN JAPANESE HISTORY,"EALC071
HIST091","Cross Cultural Analysis, II: History and Tradition"
36,NARRATIVE ACROSS CULTURE,"COML125
THAR105
ENGL103
NELC180
SAST124","III: Arts and Letters, Cross Cultural Analysis"
37,NATURAL DISTURBANCES AND DISASTERS,GEOL103,"Quantitative Data Analysis, VI: Physical World"
38,OCEANOGRAPHY:  OCEANS & CLIMATE,GEOL130,"Quantitative Data Analysis, VI: Physical World"
39,PRINCIPLES I,PHYS150,"Quantitative Data Analysis, VI: Physical World"
40,PRINCIPLES II,PHYS151,"Quantitative Data Analysis, VI: Physical World"
41,SOLARSYSTEM EXOPLANETS,ASTR006,"VII: Natural Sciences and Math, Quantitative Data Analysis"
42,SURVEY OF THE UNIVERSE,ASTR001,"Quantitative Data Analysis, VI: Physical World"
43,TEXTS AND CONTEXTS,SPAN219,"Cross Cultural Analysis, IV: Humanities and Social Science"
44,THE CITY IN SOUTH ASIA,"SAST002
URBS122
ANTH107","Cross Cultural Analysis, I: Society"
45,THE IMMIGRANT CITY,"SOCI270
LALS273
URBS270","I: Society, Cultural Diversity in the U.S."
46,THE MAKING OF THE MODERN WORLD,HIST001,"Cross Cultural Analysis, II: History and Tradition"
47,THE MODERN WORLD AND ITS CULTURAL BACKGROUND,ANTH004,"Cross Cultural Analysis, IV: Humanities and Social Science"
48,WORLD ART: 1400 TO NOW,"ARTH102
VLST232","III: Arts and Letters, Cross Cultural Analysis"
49,WORLD FILM HIST '45-PRES,"ARTH109
ENGL092
CIMS102
COML124","III: Arts and Letters, Cross Cultural Analysis"
50,WORLD FILM HIST TO 1945,"COML123
ENGL091
CIMS101
ARTH108","III: Arts and Letters, Cross Cultural Analysis"
51,WORLD MUSICS & CULTURES,"MUSC050
AFRC050
ANTH022","III: Arts and Letters, Cross Cultural Analysis"
