DEADLINE,8/24 at night,,,,
TITLE,,,,,
SHORT DESCRIPTION (<200 char),,,,,
PAGE IMAGE,,,,,
,,,,,
---NEWS---,,,,,
,,,,,
tag:,title:,description:,byline:,image link:,published link:
,In Photos: Exclusive first look at New College House West,New College House West is welcoming its first residents after two years of construction. Here's an exclusive first look at its features.,Kylie Cooper,https://s3.amazonaws.com/snwceomedia/dpn/538945e8-5a03-47a4-9d20-af65346124ef.original.jpg,https://www.thedp.com/article/2021/08/nchw-preview-dorm-penn-housing-photo-gallery
,"Your questions about Penn move-in, answered",Students will need to be masked and vaccinated in order to enter their dorms.,Rachel Miller,https://dpn.ceo.getsnworks.com/ceo/content/499ba875-652d-4b19-9438-e20f22e0a13e,https://www.thedp.com/article/2021/08/move-in-covid-restrictions-penn-masks
,"New College House West welcomes students for social, amenity-filled living experience","The building, which cost a record-shattering $169.5 million to complete, offers suite-style apartments with a dining cafe, private courtyard, coffee bar, and spectacular views of the city.",Anushka Dasgupta,https://dpn.ceo.getsnworks.com/ceo/content/0960aa9b-a767-4c31-8a4f-92c738b0d0d7,https://www.thedp.com/article/2021/08/new-college-house-west-opens-fall-2021
,Five Guys to open on Penn's campus this fall,Five Guys is a casual eatery which serves fast food like hamburgers and french fries.,Pia Singh,https://dpn.ceo.getsnworks.com/ceo/content/093911de-5511-4178-9d4e-47172a93a2f5,https://www.thedp.com/article/2021/08/penn-five-guys-replace-beijing-restaurant-philadelphia-food
,Ten tips for navigating your first in-person semester at Penn,"The Daily Pennsylvanian reached out to Penn students and faculty for advice on how incoming first years, transfer students, and sophomores can succeed in their first in-person semester.",Isabela Baghdady,https://dpn.ceo.getsnworks.com/ceo/content/36dbe391-98fe-402c-b93e-a1bb2d010149,https://www.thedp.com/article/2021/08/tips-penn-freshmen-first-second-year-transfer
,Class of 2024 to attend first-ever second-year orientation,Members of the Class of 2024 will be able to participate in specialized programming overseen by the office of New Student Orientation & Academic Initiatives.,Tiffany He,https://dpn.ceo.getsnworks.com/ceo/content/e50327b6-0269-4043-be42-b6f22e6a7f14,https://www.thedp.com/article/2021/08/second-year-orientation-new-student-penn
,New sushi bar and expanded meal swipe options among Penn Dining’s fall semester updates,Penn Dining will also open several new dining locations and will use electronic kiosks and mobile apps to streamline the ordering process.,Komal Patel,https://dpn.ceo.getsnworks.com/ceo/content/63923e36-6cbb-4905-851d-efd6bc161d50,https://www.thedp.com/article/2021/08/penn-dining-meal-swipes-fall-2021-sushi
,In-person classes and accessible class recordings: A guide to Penn’s academic scene,"Undergraduate courses will be delivered in person with limited exceptions, remaining in line with administrators’ original plans announced in April.","Delaney Parks, Stephanie Chen",https://dpn.ceo.getsnworks.com/ceo/content/eee5dc53-f55e-411a-9c0d-3d3142ea4f0b,
,Here's how Penn's amenities will operate this fall,"From libraries to gyms, there will be a variety of facilities open for student use this semester.",Lindsey Perlman,https://dpn.ceo.getsnworks.com/ceo/content/5e7787d7-a4fe-4531-8909-009bd2da3ba1,https://www.thedp.com/article/2021/08/penn-campus-amenities-fall-2021-covid-19
,Professors improvise COVID-19 classroom safety measures as Delta variant surges,"Concerned about the rise in Philadelphia's COVID-19 cases linked to Delta variant, some faculty members are improvising their own classroom safety measures while anticipating further guidance from Penn.",Kamille Houston,https://dpn.ceo.getsnworks.com/ceo/content/9b342451-164b-4b33-b211-991cfb8ea5e1,https://www.thedp.com/article/2021/08/fall-2021-semester-covid-safety-classrooms
,Penn professors largely optimistic Gutmann can rebuild relations as U.S. ambassador to Germany,"Some Penn professors hope Gutmann can repair U.S.-Germany relations, particularly as Germany will be going through a transition period after their federal election next month. ","Imran Siddiqui, William Kuster",https://dpn.ceo.getsnworks.com/ceo/content/06b63093-131e-498c-83fa-a741fc187b49,https://www.thedp.com/article/2021/08/penn-professors-on-amy-gutmann-ambassador-germany-appointment
,A rundown of Penn’s FGLI student resources this fall,Students can join various FGLI-oriented clubs and take advantage of academic resources,Mary Tuyetnhi Tran,https://dpn.ceo.getsnworks.com/ceo/content/6f46b776-a518-4339-9896-9d7a06cc52d2,https://www.thedp.com/article/2021/08/fgli-student-resources-fall-2021
---OPINION---,,,,,
,,,,,
tag:,title:,description:,byline:,image link:,published link:
,The lessons we should take from online class,The Editorial Board argues that professors should carry over some practices of the virtual semesters to in-person learning.,The Daily Pennsylvanian Editorial Board,https://dpn.ceo.getsnworks.com/ceo/content/2370b031-c474-4a28-aaea-d546f54eed08,https://www.thedp.com/article/2021/08/upenn-covid-19-virtual-learning-pandemic-classes
,"This semester, let’s add gratitude to our routine","Columnist Jaden Cloobeck speaks to how we can improve mental wellness on campus, such as by keeping a gratitude journal.",Jaden Cloobeck,https://dpn.ceo.getsnworks.com/ceo/content/5029f9e0-d51d-456f-b7eb-7f637c6f2d6d,https://www.thedp.com/article/2021/08/cloobeck-gratitude-college-journal-pandemic-virtual
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
---SPORTS---,,,,,
,,,,,
title:,description:,byline:,image link:,published link:,
10 things everyone should know about Penn Athletics ,"From Penn Athletics' storied past to its exciting and ever-changing present, this article touches all of the bases of Red and Blue sports.",Brandon Pride,https://www.thedp.com/multimedia/3-9-2019-penn-fans-in-audience-chase-sutton,https://www.thedp.com/article/2021/08/10-things-everyone-should-know-about-penn-athletics,
Penn's Olympians: How nine Quakers fared in the 2020 Games,Tokyo marked the Olympic debuts for all nine athletes,Lochlahn March,https://www.thedp.com/multimedia/olympics-collage-look-at-sheet-for-credits,https://www.thedp.com/article/2021/08/penn-olympics-tokyo-2020-fencing-rowing-track-equestrian-tennis-swimming,
"Penn Athletics Fall preview: Soccer, field hockey, football season expectations",The Red and Blue will have a greater-than-usual influx of new talent,Matthew Frank,https://www.thedp.com/multimedia/fall-semester-sports-preview-chase-sutton-son-nguyen-izzy-crawford-eng,https://www.thedp.com/article/2021/08/penn-fall-sports-preview-football-soccer-field-hockey,
Guest column | Simone Biles proved the scary reality of the twisties and mental health in gymnastics,"Many gymnasts have reported dealing with similar struggles as Biles, as the twisties are a common issue in the sport",McCaleigh Marr & Lauren Joost ,https://www.thedp.com/multimedia/08-11-16-simone-biles-rio-2016-olympics-all-around-final-balance-beam-gymnastics-chase-sutton,https://www.thedp.com/article/2021/08/simone-biles-twisties-penn-gymnastics,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
---UTB---,,,,,
,,,,,
tag:,headline:,byline:,image link:,published link:,
,Junior Revisits Thriving At Penn Modules to Figure out Where It All Went Wrong,,,https://www.underthebutton.com/article/2021/08/thriving-at-penn-revisit,
,Anticipation Turns to Anger as Students Realize In-Person Learning Actually “Worse”,,,https://www.underthebutton.com/article/2021/08/in-person-learning-worse,
,"Gutmann to Become Ambassador to Germany, Pending Final Grade in GRMN-104",,,https://www.underthebutton.com/article/2021/06/gutmann-ambassador-germany-pending-grmn104-grade,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
---STREET ARTICLES---,,,,,
,,,,,
headline:,byline:,image link:,published link:,,
Philly’s Housing Crisis & the Black Community: The Case for Penn to Step In,Rema Bhat,https://snworksceo.imgix.net/dpn-34s/84f81f80-d6fe-42d7-af54-e9a285df68e6.sized-1000x1000.png?,https://www.34st.com/article/2021/08/upenn-housing-initiative-rent-eviction-crisis-zoning-racist-segregation-redlining-home-ownership,,
A Guide to Philly's Quizzo Scene — aka 'Jeopoardy' with Beer,Hannah Lonser,https://snworksceo.imgix.net/dpn-34s/17f4f04e-3063-4267-b9fc-229581fd118b.sized-1000x1000.jpg?,https://www.34st.com/article/2021/08/philadelphia-quizzo-quizo-roundup-smokey-joes-strangelove-hilltown-tavern-bar-ly,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
NOTES:,,,,,